name,category,street,city,Website,phone_no,fb_address,contact_email
2B Whole Gluten Free Bakery,Bakery/Cafe,"42 Milton Ave
","Alpharetta, GA 30009",https://www.2bwhole.net,1 470-395-5248,,gf@2bwhole.net
2Good2B Bakery & Cafe,Bakery/Cafe,11975 Bernardo Plaza Drive ,"Rancho Bernardo, CA 92128",https://2good2b.com,1 858-487-4663,,"
INFO@2GOOD2B.COM"
2Good2B Bakery & Cafe,Bakery/Cafe,"204 N El Camino Real
","Encinitas, CA 92024
",https://2good2b.com,1 760-942-4663,,"
INFO@2GOOD2B.COM"
3 Bears Gluten Free,Bakery/Cafe,"51 Market St
","Potsdam, NY 13676
",http://www.3bearsglutenfree.com/,1 315-274-9308,https://www.facebook.com/3BearsGlutenFreeBakery,3bearsglutenfreebakery@gmail.com
5 Points Local,Cafe,1017 N Flores St,"
San Antonio, TX 78212
",http://www.5pointslocal.com,1 210-267-2652,https://www.facebook.com/5pointslocal/?ref=bookmarks,INFO@5POINTSLOCAL.COM
5b's Bakery,Bakery,45597 Main St,"
Concrete, WA 98237
",http://5bsbakery.com/index.html,1 360-853-8700,https://www.facebook.com/5bsBakery,info@5bsbakery.com
A&J Bakery,Bakery,"1458 Park Avenue
","Cranston, RI 02920
",http://www.aandjbakery.net,1 401-228-8696,https://www.facebook.com/Aandjbakery/,
Alby's Gluten Free Bakery,Bakery,"66, Holbrooks Road","Flinders Park, Adelaide, Australia 5025",,61 8 8352 5525,https://www.facebook.com/AjsFineFoodsPtyLtd/,
Aleia's ,Bakery,4 Pin Oak Dr,"Branford, CT 06405",http://www.aleias.com/,1 203-488-5556,https://www.facebook.com/Aleias-Gluten-Free-Foods-263775553639758/,connect@aleias.com
AllerGeena Gluten Free,Bakery,see website for ordering,"South Portland, ME",http://www.allergeena.com/,,https://www.facebook.com/Allergeena/,FB/allergeena@maine.rr.com
Allergy Free Baking Company,Bakery,14011 West Quincy Ave,"Morrison, CO 80465",https://www.allergyfreebakingcompany.com/,1 720-572-7838,https://www.facebook.com/allergyfreebakingcompany/, nicole@allergyfreebakingcompany.com
Allie's GF Goodies,Bakery,1B West Village Green,"Hicksville, NY 11801",https://alliesgfg.com/,1 516-216-1719,https://www.facebook.com/AlliesGfGoodiesHomemadeGlutenFreeGoodness/,Agfgoodies@optimum.net
Almond Butterfly,Bakery,"100 Harbord Street
","Toronto, Ontario, Canada M5S 1G6",http://www.almondbutterfly.com/index.html,1 416-792-7994,https://www.facebook.com/almondbutterfly,info@almondbutterfly.com
Ancient Grains Bakery,Bakery,"687a Fergusson Drive
 ","Elderslea Upper Hutt, New Zealand 5018
",http://www.ancientgrains.co.nz,64 04-528-5100,,lee@ancientgrains.co.nz
Anna B's Gluten Free,Bakery,7426 Brandy Creek Drive,"
Mechanicsville, VA 23111
",http://www.annabsglutenfree.com,1 804-822-0656,,annabglutenfree@gmail.com
Annie May's Sweet Cafe,Bakery/Cafe,3110 Frankfort Ave.,"Louisville, KY 40206",http://www.anniemayssweetcafe.com/,1 502-384-2667,,info@anniemayssweetcafe.com
Apres Food,Restaurant,72 St John Street,"London, UK EC1M 4 DT",https://www.apresfood.com/,44 20 7686 8888,https://www.facebook.com/ApresFoodCo/,hello@apresfood.com
Around my Gluten Free Table,Bakery,"411 Huronia Rd., Unit 10","Barrie, Ontario, Canada L4N 9B3",http://www.amgft.com/,1 705-722-0668,https://www.facebook.com/aroundmyglutenfreetablebarrie,
Asian Box,Cafe,"2121 Cloverfield Boulevard
","Santa Monica, CA 90404
",http://www.asianbox.com,1 424-280-4607,https://www.facebook.com/AsianBoxEats/,
Asian Box,Cafe,"Brokaw Plaza
1078 E Brokaw Road
","San Jose, CA 95131
",http://www.asianbox.com,1 408-441-0477,https://www.facebook.com/AsianBoxEats/,
Asian Box,Cafe,"2031 Chestnut Street
","San Francisco, CA 94123",http://www.asianbox.com,1 415-288-3688,https://www.facebook.com/AsianBoxEats/,
Asian Box,Cafe,"855 El Camino Real
","Palo Alto, CA 94301
",http://www.asianbox.com,1 650-391-9305,https://www.facebook.com/AsianBoxEats/,
Asian Box,Cafe,142 Castro St.,"Mountain View, CA 94041",http://www.asianbox.com,1 650-584-3947,https://www.facebook.com/AsianBoxEats/,
Asian Box,Cafe,"10250 Santa Monica Boulevard
","Los Angeles, CA 90067",http://www.asianbox.com,1 310-203-9702,https://www.facebook.com/AsianBoxEats/,
Asian Box,Cafe,445 South Figueroa Street,"Los Angeles, CA, 90071",http://www.asianbox.com,1 213-265-7955,https://www.facebook.com/AsianBoxEats/,
