name,category,Website,phone_no,fb_address,contact_email,lat,lng,map_id,street,city
La Otilia Bakery,Bakery,http://laotilia.com.mx/,52 55 5207 2546,,,19.4189964,-99.1679156,https://goo.gl/maps/GKHkTKDYhieWxRqK9,"158 Orchard St
","New York, NY 10002"
Gula Sana,Cafe,http://www.gulasana.com/,34 930 24 52 35,https://www.facebook.com/gulasanaglutenfree/,,41.3962585,2.1745223,https://goo.gl/maps/ojSrwzQ8eao672N86,Kongensgate 28,"
Ålesund, Norway 6002
"
Sweetpea Cafe,Bakery,http://www.sweetpeacafe.hk/,852 3689 7269,https://www.facebook.com/pg/SweetpeaPatisserieHK/photos/?ref=page_internal,,22.2840913,114.1520688,https://goo.gl/maps/HA5HT3kXjM7s6uvP9,"contact online
","Camano Island, WA"
As Quoted,Restaurant,http://www.eatasquoted.com/,1 415-914-0689,https://www.facebook.com/asquoted,hello@eatasquoted.com,37.7873332,-122.4522858,https://goo.gl/maps/8mNt23Kq17Y17uabA,"Nerima-ku
Tokyo Sekimachikita 3-50-1
","Tokyo, Japan"
Gokuraku Curry,Restaurant,https://gokurakucurry.com/,81 467-61-1807,,,35.3138441,139.5435751,https://goo.gl/maps/6jcfGVWvA6ghBzXG9,948 N Coast Hwy 101,"Encinitas, CA 92024"
Strawberry Blonde Bakery,Bakery,https://www.strawberryblondebakery.com/,1 613-725-2253,,,45.3990479,-75.7369283,https://goo.gl/maps/pZAkx46chc7BzaRk8,97 Thistle Street Gordon Park ,"Brisbane, Queensland, Australia"
The Sweet Beet,Bakery/Cafe,https://www.thesweetbeet.net/,1 860-653-2338,,thesweetbeetllc@gmail.com,41.9841613,-72.8006586,https://goo.gl/maps/8H9xK5r1xYptrjQL7,54 Frasers Road,"Ashgrove, Queensland, Australia"
Choice,Cafe/Restaurant,http://choice-hs.net/,81 75-762-1233,,,35.0094909,135.7735025,https://goo.gl/maps/a8MVLWFN8DAWHHty7,"52, Kikuicho, Shinjuku
","Tokyo 162-0044, Japan
"
Vitapek,Bakery,https://vitapek.si/,386 51 766 555,,,46.7868201,16.2786689,https://goo.gl/maps/n7Jd1XcnAi4qNQfz9,"???3?4?6
 Minato-ku","Tokyo, Japan 106-0032
"
The Juice Laundry,Cafe,https://www.thejuicelaundry.com/,1 434-202-8839,,,38.0344654,-78.4999972,https://goo.gl/maps/koKHUbo6FULWaMCY9,Cnr Florence & Macquarie Sts Teneriffe,"Brisbane, Queensland, QLD 4006 Australia"
