name,category,city,Website,phone_no,fb_address,contact_email,lat,lng,map_id
2B Whole Gluten Free Bakery,Bakery/Cafe,"42 Milton Ave Ste B, Alpharetta, GA 30009, USA",https://www.2bwhole.net,1 470-395-5248,https://www.facebook.com/2bWholeBakery,gf@2bwhole.net,34.075410,-84.295770,https://goo.gl/maps/rPp6vbU6JBsAj21JA
3 Bears Gluten Free,Bakery/Cafe,"51 Market St, Potsdam, NY 13676, USA",http://www.3bearsglutenfree.com/,1 315-274-9308,https://www.facebook.com/3BearsGlutenFreeBakery,3bearsglutenfreebakery@gmail.com,44.670130,-74.987300,https://goo.gl/maps/5PghJBC9gu9ZFFdv8
5 Points Local,Cafe,"1017 N Flores St, San Antonio, TX 78212, USA",http://www.5pointslocal.com,1 210-267-2652,https://www.facebook.com/5pointslocal/?ref=bookmarks,INFO@5POINTSLOCAL.COM,29.435260,-98.500570,https://goo.gl/maps/tKdWRPcGQiA6tPUc6
5b's Bakery,Bakery,"45597 Main St, Concrete, WA 98237, USA",http://5bsbakery.com/index.html,1 360-853-8700,https://www.facebook.com/5bsBakery,info@5bsbakery.com,48.539010,-121.753260,https://goo.gl/maps/BjoNLximHx4d7HyP6
A & J Bakery,Bakery,"1458 Park Ave, Cranston, RI 02920, USA",http://www.aandjbakery.net,1 401-228-8696,https://www.facebook.com/Aandjbakery/,,41.782840,-71.463640,https://goo.gl/maps/JpWfotSnNdbxc4dt6
Alby's Gluten Free Bakery,Bakery,"66 Holbrooks Rd, Flinders Park SA 5025, Australia",,61 8 8352 5525,https://www.facebook.com/AjsFineFoodsPtyLtd/,,-34.910590,138.548570,https://goo.gl/maps/EkzPUcCC2KmJAzKK8
Aleia's Gluten Free Foods,Bakery,"4 Pin Oak Dr, Branford, CT 06405, USA",http://www.aleias.com/,1 203-488-5556,https://www.facebook.com/Aleias-Gluten-Free-Foods-263775553639758/,connect@aleias.com,41.299180,-72.751190,https://goo.gl/maps/7n6cLXrZAKAh2WVM7
AllerGeena Gluten Free,Bakery,,http://www.allergeena.com/,,https://www.facebook.com/Allergeena/,FB/allergeena@maine.rr.com,-34.9105828,138.5466415,https://goo.gl/maps/dAC2ntiT5BYJ3ZLC6
Allergy Free Baking Company,Bakery,"14011 W Quincy Ave J, Morrison, CO 80465, USA",https://www.allergyfreebakingcompany.com/,1 720-572-7838,https://www.facebook.com/allergyfreebakingcompany/, nicole@allergyfreebakingcompany.com,39.635320,-105.157450,https://g.page/allergyfreebakingcompany?share
Allie's GF Goodies,Bakery,"1B W Village Green, Hicksville, NY 11801, USA",https://alliesgfg.com/,1 516-216-1719,https://www.facebook.com/AlliesGfGoodiesHomemadeGlutenFreeGoodness/,Agfgoodies@optimum.net,40.745050,-73.533780,https://goo.gl/maps/KBoeZyLjQMqQfBbL6
Almond Butterfly,Bakery,"100 Harbord St, Toronto, ON M5S 1G6, Canada",http://www.almondbutterfly.com/index.html,1 416-792-7994,https://www.facebook.com/almondbutterfly,info@almondbutterfly.com,43.663020,-79.403440,https://goo.gl/maps/55oNj2GBbNT1RQgeA
Alriso Restaurant,Restaurant,"BetlÇmskÇ n†m. 11/259, 110 00 StarÇ M?sto, Czechia",http://www.alriso.cz/en/,420 222 233 341,https://www.facebook.com/Alriso,info@alriso.cz,50.083910,14.416830,https://goo.gl/maps/3tNHZHfxcVUCCjHaA
Ancient Grains Bakery,Bakery,"687 Fergusson Dr, Elderslea, Upper Hutt 5018, New Zealand",http://www.ancientgrains.co.nz,64 04-528-5100,,lee@ancientgrains.co.nz,-41.125880,175.054520,https://goo.gl/maps/ikDsJAC4fgK5Z7kq5
AnnaB's Gluten Free Bakery,Bakery,"7426 Brandy Creek Dr, Mechanicsville, VA 23111, USA",http://www.annabsglutenfree.com,1 804-822-0656,,annabglutenfree@gmail.com,37.611700,-77.333160,https://goo.gl/maps/XvG5LuiZVkjFhKtX9
Annie May's Sweet Cafe,Bakery/Cafe,"3110 Frankfort Ave, Louisville, KY 40206, USA",http://www.anniemayssweetcafe.com/,1 502-384-2667,,info@anniemayssweetcafe.com,38.25415,-85.67667,https://goo.gl/maps/sgQhWTSqq1nRpr1U8
ApÇti - Cuisine VÇgÇtale,Cafe/Restaurant,"72 Rue du Cherche-Midi, 75006 Paris, France",http://www.apeti.fr/,33 1 43 22 17 98,https://www.facebook.com/apetirestaurant,,48.848270,2.323940,https://goo.gl/maps/WX8avtMyYfBb1mS56
Apres Food,Restaurant,"72 St John St, Farringdon, London EC1M 4DT, UK",https://www.apresfood.com/,44 20 7686 8888 +33 1 43 22 17 98,https://www.facebook.com/ApresFoodCo/,hello@apresfood.com,51.521389,-0.101680,https://goo.gl/maps/z773fbVB7nLvWNVf9
Arepera Du Plateau,Cafe/Restaurant,"73 Rue Prince Arthur E, MontrÇal, QC H2X 1B4, Canada",http://www.arepera.ca,1 514-508-7267,https://www.facebook.com/areperamontreal/,contact@arepera.ca,45.514750,-73.572090,https://goo.gl/maps/N3Dd8LMc5MnRDdYFA
Around my Gluten Free Table,Bakery,"411 Huronia Rd Unit 10, Barrie, ON L4N 9B3, Canada",http://www.amgft.com/,1 705-722-0668,https://www.facebook.com/aroundmyglutenfreetablebarrie,,44.352510,-79.664440,https://goo.gl/maps/6fK99EotsRWLnZDj9
As de Bastos Madrid,Restaurant,"Calle de Castilla, 62, 28039 Madrid, Spain",https://www.asdebastos.es/madrid/,34 917 95 78 55,https://es-la.facebook.com/RestauranteAsdeBastos/,info@asdebastos.es,40.453200,-3.707960,https://g.page/as-de-bastos-madrid?share
As de Bastos Majadahonda,Restaurant,"Calle Dr. Bastos, 9, 28220 Majadahonda, Madrid, Spain",https://www.asdebastos.es/majadahonda/,34 916 38 25 14,https://es-la.facebook.com/RestauranteAsdeBastos/,info@asdebastos.es,40.476240,-3.875350,https://g.page/as-de-bastos-majadahonda?share
Asian Box Santa Monica,Cafe,"2121 Cloverfield Blvd #2, Santa Monica, CA 90404, USA",http://www.asianbox.com,1 424-280-4607,https://www.facebook.com/AsianBoxEats/,,34.021670,-118.465730,https://goo.gl/maps/hG9WoSSJfPvmGw4J9
Asian Box San Jose,Cafe,"1078 E Brokaw Rd, San Jose, CA 95131, USA",http://www.asianbox.com,1 408-441-0477,https://www.facebook.com/AsianBoxEats/,,37.382680,-121.896780,https://goo.gl/maps/pdKnXq25qjfHYGLj6
Asian Box San Francisco,Cafe,"2031 Chestnut St, San Francisco, CA 94123, USA",http://www.asianbox.com,1 415-288-3688,https://www.facebook.com/AsianBoxEats/,,37.800600,-122.436710,https://goo.gl/maps/Rmr6avr8mESSh1cPA
Asian Box Palo Alto,Cafe,"855 El Camino Real, Palo Alto, CA 94301, USA",http://www.asianbox.com,1 650-391-9305,https://www.facebook.com/AsianBoxEats/,,37.438200,-122.160900,https://goo.gl/maps/GmUVckEf2qj9YkBg6
Asian Box Mountain View,Cafe,"142 Castro St, Mountain View, CA 94041, USA",http://www.asianbox.com,1 650-584-3947,https://www.facebook.com/AsianBoxEats/,,37.394580,-122.078860,https://goo.gl/maps/Mn6LxE7WZvAG44MWA
Asian Box Los Angeles #1,Cafe,"10250 Santa Monica Blvd, Los Angeles, CA 90067, USA",http://www.asianbox.com,1 310-203-9702,https://www.facebook.com/AsianBoxEats/,,34.058600,-118.419000,https://goo.gl/maps/tLPyYe4Pqy9zCLBL9
Asian Box Los Angeles #2,Cafe,"445 S Figueroa St, Los Angeles, CA 90071, USA",http://www.asianbox.com,1 213-265-7955,https://www.facebook.com/AsianBoxEats/,,34.053120,-118.257330,https://goo.gl/maps/uXGuGzKxMm36ut3r7
Asian Box Irvine,Cafe,"4503 Campus Dr, Irvine, CA 92612, USA",http://www.asianbox.com,1 949-769-6196,https://www.facebook.com/AsianBoxEats/,,33.666050,-117.854280,https://goo.gl/maps/rxH3ewqyuU31LTN46
Asian Box Campbell,Cafe,"1875 S Bascom Ave, Campbell, CA 95008, USA",http://www.asianbox.com,1 408-628-4228,https://www.facebook.com/AsianBoxEats/,,37.288390,-121.932580,https://goo.gl/maps/7RTdKfVJC9GJR9Xd8
Asian Box Burlingame,Cafe,"1401 Burlingame Ave, Burlingame, CA 94010, USA",http://www.asianbox.com,1 650-315-2582,https://www.facebook.com/AsianBoxEats/,,37.577600,-122.348100,https://goo.gl/maps/JbiiiNfQkZzRCeQo7
Athlete's Kitchen,Cafe,"171 E Liberty St #131, Toronto, ON M6K 3P6, Canada",https://athleteskitchen.ca/,1 416-516-0101,,oscar@athleteskitchen.ca,43.638410,-79.415130,https://goo.gl/maps/yFekHo5hYdJf1fbx8
Back to Eden Food Cart,Food Truck,"4804 SE Woodstock Blvd, Portland, OR 97202, USA",https://www.backtoedenbakery.com/,1 503-477-5022,https://www.facebook.com/backtoedenbakery,,45.479210,-122.623619,https://goo.gl/maps/hTYeuTNoMhRB1Qe37
Back to Eden Bakery,Bakery,"2215-2217 NE Alberta St, Portland, OR 97211, USA",https://www.backtoedenbakery.com/,1 503-477-5022,https://www.facebook.com/backtoedenbakery,,45.559110,-122.665630,https://goo.gl/maps/KuTqDeyy6WErdkoq8
Back to Eden Bakery Food Truck,Bakery,"4804 SE Woodstock Blvd, Portland, OR 97202, USA",https://www.backtoedenbakery.com/,1 503-477-5022,https://www.facebook.com/backtoedenbakery,,45.479210,-122.623620,https://goo.gl/maps/GXvRdBPMS1onhZYU9
Bake Free Karon,Bakery/Cafe,"681/5 Patak Road, Karon, Muang, Phuket 83100, Thailand",http://www.bakefree.co/,66 94 583 3262,https://www.facebook.com/bakefreestore/,,7.820990,98.304330,https://goo.gl/maps/HVGG6z6fsswRnrAPA
Bake Free Soi Ta-iead,Bakery/Cafe,"45/40 Moo 1 Soi Ta-iead, Chalong, Muang, Phuket 83130, Thailand",http://www.bakefree.co/,66 92 516 4021,https://www.facebook.com/bakefreestore/,,7.850430,98.350790,https://goo.gl/maps/GVNQoy5R5Gsg7f1c6
Bake Free,Bakery/Cafe,"Rawai, Mueang Phuket District, Phuket 83100, Thailand",http://www.bakefree.co/,66 92 516 4021,https://www.facebook.com/bakefreestore/,,7.847870,98.298480,https://goo.gl/maps/6sgFxA3aNv9WUkC28
Bites of Delight,Bakery,"Rabyeh, Sargi food street, Nadim dagher building, 1st floor? Rabyeh? Lebanon",http://bites-of-delight.com,961 70 487 796,,,31.974178,35.884238,https://goo.gl/maps/2ia5ApBys5UPPKRg8
Bake Me Happy,Bakery,"106 E Moler St, Columbus, OH 43207, USA",https://www.bakemehappygf.com/,1 614-477-3642,https://www.facebook.com/BakeMeHappyGF/,bakemehappygf@gmail.com,39.935230,-82.992710,https://goo.gl/maps/1ym4jwPX9ZRjVjd7A
Baked2GO,Bakery,4255 Boul. Saint Laurent,https://www.baked2go.com,1 514-844-3232,,info@baked2go.com,45.518580,-73.582610,https://goo.gl/maps/xsxvgZzGzqjb7GoEA
Baker Street Bakeshop,Online,,http://bakerstreetbakeshop.com/,1 484-272-2193,https://www.facebook.com/BakerStreetBakeshop/,contactus@bakerstreetbakeshop.com,,,
Bam Bam Bakery,Bakery,"267 Commercial St, Portland, ME 04101, USA",http://bambambakery.com/,1 207-8994100,https://www.facebook.com/BamBamBakery/?ref=ts,info@bambambakery.com,43.658820,-70.249062,https://goo.gl/maps/mnzN7FzY6rWYpAZp7
Bangkok Canteen Gloucester,Restaurant,"72 Westgate St, Gloucester GL1 2NZ, UK",http://www.bangkokcanteen.co.uk,44 1452 306288,https://www.facebook.com/BKKCanteenUK/,info@bangkokcanteen.co.uk,51.866660,-2.248280,https://goo.gl/maps/7459XJFa3yfzKxAdA
Bar Italia,Cafe/Restaurant,"Av. Italia 1423, Providencia, Regi¢n Metropolitana, Chile",http://www.baritalia.cl/#/inicio/,56 2 2503 2870,,,-33.443960,-70.625770,https://goo.gl/maps/imUAsY38RjZJaCQP7
Bare Naked Bakery and Cafe Bellmore,Bakery/Cafe,"2572 Merrick Rd, Bellmore, NY 11710, USA",http://www.barenakedbakery.com/,,,info@barenakedbakery.com,40.662360,-73.530390,https://goo.gl/maps/W3Mp5x5ra6CW4cRX6
Bare Naked Bakery and Cafe Planview,Bakery/Cafe,"16 Manetto Hill Rd, Plainview, NY 11803, USA",http://www.barenakedbakery.com/,1 516-513-0598,,info@barenakedbakery.com,40.777570,-73.467120,https://goo.gl/maps/tN3qnrRFAeZkWDyc6
Be Bop,Restaurant,"Viale Col di Lana, 4, 20136 Milano MI, Italy",http://www.bebopristorante.it/,39 02 837 6972,https://www.facebook.com/BeBopRistorante,,45.452143,9.182287,https://goo.gl/maps/dZhGY92YP644F3YR7
Be Free Libre de Gluten,Bakery,"Calle 118 105, San JosÇ, San Rafael, Costa Rica",,506 2289 3631,https://www.facebook.com/befreecostarica/,,9.931425,-84.131008,https://goo.gl/maps/N7yTQmeXnXQigDBy6
