name,category,city,Website,phone_no,fb_address,contact_email,lat,lng,map_id
2B Whole Gluten Free Bakery,Bakery/Cafe,"42 Milton Ave Ste B, Alpharetta, GA 30009, USA",https://www.2bwhole.net,1 470-395-5248,https://www.facebook.com/2bWholeBakery,gf@2bwhole.net,34.07541,-84.29577,https://goo.gl/maps/rPp6vbU6JBsAj21JA
3 Bears Gluten Free,Bakery/Cafe,"51 Market St, Potsdam, NY 13676, USA",http://www.3bearsglutenfree.com/,1 315-274-9308,https://www.facebook.com/3BearsGlutenFreeBakery,3bearsglutenfreebakery@gmail.com,44.67013,-74.9873,https://goo.gl/maps/5PghJBC9gu9ZFFdv8
5 Points Local,Cafe,"1017 N Flores St, San Antonio, TX 78212, USA",http://www.5pointslocal.com,1 210-267-2652,https://www.facebook.com/5pointslocal/?ref=bookmarks,INFO@5POINTSLOCAL.COM,29.43526,-98.50057,https://goo.gl/maps/tKdWRPcGQiA6tPUc6
5b's Bakery,Bakery,"45597 Main St, Concrete, WA 98237, USA",http://5bsbakery.com/index.html,1 360-853-8700,https://www.facebook.com/5bsBakery,info@5bsbakery.com,48.53901,-121.75326,https://goo.gl/maps/BjoNLximHx4d7HyP6
A & J Bakery,Bakery,"1458 Park Ave, Cranston, RI 02920, USA",http://www.aandjbakery.net,1 401-228-8696,https://www.facebook.com/Aandjbakery/,,41.78284,-71.46364,https://goo.gl/maps/JpWfotSnNdbxc4dt6
Alby's Gluten Free Bakery,Bakery,"66 Holbrooks Rd, Flinders Park SA 5025, Australia",,61 8 8352 5525,https://www.facebook.com/AjsFineFoodsPtyLtd/,,-34.91059,138.54857,https://goo.gl/maps/EkzPUcCC2KmJAzKK8
Aleia's Gluten Free Foods,Bakery,"4 Pin Oak Dr, Branford, CT 06405, USA",http://www.aleias.com/,1 203-488-5556,https://www.facebook.com/Aleias-Gluten-Free-Foods-263775553639758/,connect@aleias.com,41.29918,-72.75119,https://goo.gl/maps/7n6cLXrZAKAh2WVM7
AllerGeena Gluten Free,Bakery,,http://www.allergeena.com/,,https://www.facebook.com/Allergeena/,FB/allergeena@maine.rr.com,-34.9105828,138.5466415,https://goo.gl/maps/dAC2ntiT5BYJ3ZLC6
Allergy Free Baking Company,Bakery,"14011 W Quincy Ave J, Morrison, CO 80465, USA",https://www.allergyfreebakingcompany.com/,1 720-572-7838,https://www.facebook.com/allergyfreebakingcompany/, nicole@allergyfreebakingcompany.com,39.63532,-105.15745,https://g.page/allergyfreebakingcompany?share
Allie's GF Goodies,Bakery,"1B W Village Green, Hicksville, NY 11801, USA",https://alliesgfg.com/,1 516-216-1719,https://www.facebook.com/AlliesGfGoodiesHomemadeGlutenFreeGoodness/,Agfgoodies@optimum.net,40.74505,-73.53378,https://goo.gl/maps/KBoeZyLjQMqQfBbL6
Almond Butterfly,Bakery,"100 Harbord St, Toronto, ON M5S 1G6, Canada",http://www.almondbutterfly.com/index.html,1 416-792-7994,https://www.facebook.com/almondbutterfly,info@almondbutterfly.com,43.66302,-79.40344,https://goo.gl/maps/55oNj2GBbNT1RQgeA
Alriso Restaurant,Restaurant,"Betl?msk? nòm. 11/259, 110 00 Star? M?sto, Czechia",http://www.alriso.cz/en/,420 222 233 341,https://www.facebook.com/Alriso,info@alriso.cz,50.08391,14.41683,https://goo.gl/maps/3tNHZHfxcVUCCjHaA
Ancient Grains Bakery,Bakery,"687 Fergusson Dr, Elderslea, Upper Hutt 5018, New Zealand",http://www.ancientgrains.co.nz,64 04-528-5100,,lee@ancientgrains.co.nz,-41.12588,175.05452,https://goo.gl/maps/ikDsJAC4fgK5Z7kq5
